date,Cancelled
2022-03-01,0
2022-03-02,1
2022-03-03,0
2022-03-04,0
2022-03-05,0
2022-03-06,0
2022-03-07,0
2022-03-08,1
2022-03-09,0
2022-03-10,0
2022-03-11,0
2022-03-12,1
2022-03-13,0
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,0
2022-03-18,0
2022-03-19,0
2022-03-20,0
2022-05-15,1
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,1
2022-05-20,1
2022-05-21,0
2022-05-22,1
2022-05-23,1
2022-05-24,0
2022-05-25,1
2022-05-26,0
2022-05-27,0
2022-05-28,1
2022-05-29,1
2022-05-30,1
2022-05-31,0
2022-06-01,0
2022-06-02,1
2022-06-03,1
2022-06-04,0
2022-06-05,1
2022-06-06,0
2022-06-07,1
2022-06-08,0
2022-06-09,1
2022-06-10,0
2022-06-11,1
2022-06-12,1
2022-06-13,0
2022-09-15,1
2022-09-16,1
2022-09-17,1
2022-09-18,1
2022-09-19,0
2022-09-20,1
2022-09-21,0
2022-09-22,0
2022-09-23,0
2022-09-24,0
2022-09-25,0
2022-09-26,0
2022-09-27,1
2022-09-28,0
2022-09-29,0
2022-09-30,0
2022-10-01,0
2022-10-02,0
2022-10-03,0
2022-10-04,1
2022-10-01,0
2022-10-02,0
2022-10-03,0
2022-10-04,0
2022-10-05,0
2022-10-06,0
2022-10-07,0
2022-10-08,0
2022-10-09,0
2022-10-10,0
2022-10-11,0
2022-10-12,0
2022-10-13,0
2022-10-14,0
2022-10-15,0
2022-10-16,0
2022-10-17,0
2022-10-18,0
2022-10-19,0
2022-10-20,0
2022-10-21,0
2022-10-22,0
2022-10-23,0
2022-10-24,0
2022-10-25,0
2022-10-26,0
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,0
